rank,url,clicks,post_id
312,https://www.afriquesports.net/football/le-football-francais-en-deuil-deces-tragique-dune-star-emblematique,57,863663
314,https://www.afriquesports.net/afrique/can-2025-cette-victoire-nabil-djellit-sans-filtre-sur-le-cameroun-apres-le-succes-contre-le-gabon,55,871473
316,https://www.afriquesports.net/article-du-jour/huitiemes-de-finale-de-la-can-2025-calendrier-officiel-dates-et-heures-des-matchs,55,871945
318,https://www.afriquesports.net/football/camavinga-renvoie-moussa-sissoko-lagent-dousmane-dembele-les-raisons-incroyables-revelees,55,669563
319,https://www.afriquesports.net/football/real-madrid-3-joueurs-touches-par-le-virus-fifa,55,863275
321,https://www.afriquesports.net/afrique/rennes-le-sort-dhabib-beye-bientot-scelle-son-remplacant-connu,54,862869
322,https://www.afriquesports.net/europe/triste-nouvelle-une-legende-du-barca-raccroche-les-crampons,54,862579
323,https://www.afriquesports.net/football/caf-une-grande-nation-officiellement-exclue-des-barrages-pour-la-coupe-du-monde,54,863577
325,https://www.afriquesports.net/ballon-dor/ballon-dor-2025-voici-les-5-clubs-en-lice-pour-le-titre-de-club-de-lannee,53,855455
327,https://www.afriquesports.net/classement/sadio-mane-ronaldo-mbappe-le-top-10-des-footballeurs-les-mieux-payes-au-monde,53,863762
328,https://www.afriquesports.net/europe/cancelo-souvre-sur-le-deces-tragique-de-sa-mere-dans-une-interview-emouvante,53,463668
330,https://www.afriquesports.net/football/carriere-reussie-les-statistiques-ont-tranche-entre-benzema-et-le-zeus-zlatan-ibrahimovic,53,659731
331,https://www.afriquesports.net/football/drame-en-equateur-ex-international-tue-avec-sa-femme-devant-une-boucherie,53,870248
332,https://www.afriquesports.net/football/messi-surprend-tout-le-monde-avec-sa-selection-des-10-jeunes-talents-yamal-exclu,53,863719
333,https://www.afriquesports.net/football/video-le-premier-but-incroyable-dethan-mbappe-en-professionnel-avec-lille,53,859296
335,https://www.afriquesports.net/afrique/coupe-du-monde-2026-la-raison-derriere-lexclusion-du-burkina-faso-des-barrages-revelee,52,863670
336,https://www.afriquesports.net/coupe-du-monde/coupe-du-monde-2026-le-guide-complet-des-barrages,52,858734
339,https://www.afriquesports.net/football/kubo-27e-ansu-fati-8e-le-classement-des-50-meilleurs-joueurs-nes-en-2001-ou-apres,52,253931
340,https://www.afriquesports.net/actualites/tres-mauvaise-nouvelle-pour-le-barca-et-pedri-juste-avant-2026,51,870211
341,https://www.afriquesports.net/afrique/can-2025-le-verdict-tombe-la-caf-a-officiellement-tranche-pour-la-guinee,51,861023
342,https://www.afriquesports.net/classement/zidane-3e-modric-9e-le-classement-des-10-meilleurs-milieux-de-terrain-au-21e-siecle,51,502916
